sep=|
weightsLimit:1|learningRate:0,1|stepFunction:Unipolar|inputsCount:2
n|error
1|3
2|2
3|3
4|2
5|3
6|3
7|2
8|3
9|3
10|2
11|3
12|3
13|2
14|2
15|3
16|2
17|1
18|0
