sep=|
start:0|end:1|step:0,1|repetitions:1000|learningRate:0,2|stepFunction:Unipolar|inputsCount:2|useAdalvine:False|adalineThreshold:1|verbose:False
n|initial weights limit|min epochs|max epochs|avg epochs
1|0|4|4|4
2|0,1|1|9|6
3|0,2|1|9|6
4|0,3|1|11|6
5|0,4|1|11|6
6|0,5|1|11|6
7|0,6|1|12|6
8|0,7|1|13|6
9|0,8|1|13|6
10|0,9|1|13|6
11|1|1|14|6
