sep=|
start:0,1|end:0,3|step:0,02|repetitions:1000|initialWeightsLimit:1|stepFunction:Unipolar|inputsCount:2|useAdalvine:True|adalineThreshold:0,4|verbose:False
n|learning rate|min epochs|max epochs|avg epochs
1|0,1|2|26|17
2|0,12|2|23|15
3|0,14|2|21|14
4|0,16|3|20|14
5|0,18|3|20|13
6|0,2|5|21|13
7|0,22|2|25|13
8|0,24|5|26|13
9|0,26|3|30|13
10|0,28|4|39|13
11|0,3|3|49|13
