sep=|
start:0|end:1|step:0,1|repetitions:1000|weightsLimit:1|learningRate:0,2|stepFunction:Unipolar|inputsCount:2|verbose:False
n|adaline threshold|min epochs|max epochs|avg epochs|final error
1|0|0|0|0|0,369702437418974
2|0,1|0|0|0|0,345044546691631
3|0,2|0|0|0|0,382823370346151
4|0,3|0|0|0|0,379065049584745
5|0,4|4|21|13|0,33839701986617
6|0,5|1|13|8|0,478378580805729
7|0,6|1|11|6|0,619880529068855
8|0,7|1|10|5|0,6247423045887
9|0,8|1|9|4|0,610910949456163
10|0,9|1|8|3|0,47515822118763
11|1|1|7|3|0,724063989811449
